,Series,Record
0,1500 ,"1501: Miles Davis - Miles Davis Volume 1 (5/9/52, 4/20/53)"
1,1500 ,"1502: Miles Davis - Miles Davis Volume 2 (5/9/52, 4/20/53, 3/6/54)"
2,1500 ,"1503: Bud Powell - The Amazing Bud Powell, Vol. 1 (8/9/49, 5/1/51)"
3,1500 ,"1504: Bud Powell - The Amazing Bud Powell, Vol. 2 (5/1/51, 8/14/53)"
4,1500 ,"1505: J. J. Johnson - The Eminent Jay Jay Johnson Volume 1 (6/22/53, 9/24/54)"
5,1500 ,"1506: J. J. Johnson - The Eminent Jay Jay Johnson Volume 2 (6/22/53, 9/24/54, 6/6/55)"
6,1500 ,"1507: Art Blakey and the Jazz Messengers - At the Cafe Bohemia, Vol. 1 (11/23/55)"
7,1500 ,"1508: Art Blakey and the Jazz Messengers - At the Cafe Bohemia, Vol. 2 (11/23/55)"
8,1500 ,"1509: Milt Jackson - Milt Jackson and the Thelonious Monk Quintet (7/2/48, 7/23/51, 4/7/52)"
9,1500 ,"1510: Thelonious Monk - Genius of Modern Music, Volume 1 (10/15/47, 10/24/47, 11/21/47)"
10,1500 ,"1511: Thelonious Monk - Genius of Modern Music, Volume 2 (10/15/47, 10/24/47, 7/23/51, 5/30/52)"
11,1500 ,"1512: Jimmy Smith - A New Sound, A New Star, Volume 1 (2/18/56)"
12,1500 ,1513: Thad Jones - Detroit-New York Junction (3/13/56)
13,1500 ,"1514: Jimmy Smith - A New Sound, A New Star, Volume 2 (3/11/56)"
14,1500 ,"1515: Jutta Hipp - At the Hickory House, Volume 1 (4/5/56)"
15,1500 ,"1516: Jutta Hipp - At the Hickory House, Volume 2 (4/5/56)"
16,1500 ,1517: Gil Mellé - Patterns in Jazz (4/1/56)
17,1500 ,"1518: Horace Silver - Horace Silver and the Jazz Messengers (11/13/54, 2/6/55)"
18,1500 ,"1519: Herbie Nichols - Herbie Nichols Trio (8/7/55, 4/19/56)"
19,1500 ,"1520: Horace Silver and Art Blakey / Sabu (10/9/52, 11/23/53)"
20,1500 ,"1521: Art Blakey - A Night at Birdland, Vol. 1 (2/21/54)"
21,1500 ,"1522: Art Blakey - A Night at Birdland, Vol. 2 (2/21/54)"
22,1500 ,"1523: Kenny Burrell - Introducing Kenny Burrell (5/29/56, 5/30/56)"
23,1500 ,1524: Kenny Dorham - 'Round About Midnight at the Cafe Bohemia (5/31/56)
24,1500 ,"1525: Jimmy Smith - The Incredible Jimmy Smith, Volume 3 (6/17/56)"
25,1500 ,"1526: Clifford Brown - Memorial Album (6/9/53, 8/28/53)"
26,1500 ,1527: Thad Jones - The Magnificent Thad Jones (7/14/56)
27,1500 ,"1528: Jimmy Smith - At Club Baby Grand, Volume 1 (8/4/56)"
28,1500 ,"1529: Jimmy Smith - At Club Baby Grand, Volume 2 (8/4/56)"
29,1500 ,1530: Jutta Hipp - Jutta Hipp with Zoot Sims (7/28/56)
30,1500 ,"1531: Fats Navarro - The Fabulous Fats Navarro, Volume 1 (9/26/47, 10/11/48, 8/9/49)"
31,1500 ,"1532: Fats Navarro - The Fabulous Fats Navarro, Volume 2 (9/13/48, 10/11/48)"
32,1500 ,1533: Johnny Griffin - Introducing Johnny Griffin (4/17/56)
33,1500 ,1534: Paul Chambers - Whims of Chambers (9/21/56)
34,1500 ,"1535: Kenny Dorham - Afro-Cuban (1/30/55, 3/29/55)"
35,1500 ,1536: J. R. Monterose - J. R. Monterose (10/21/56)
36,1500 ,"1537: Lou Donaldson - Quartet/Quintet/Sextet (6/20/52, 11/19/52)"
37,1500 ,1538: Lee Morgan - Lee Morgan Indeed! (11/4/56)
38,1500 ,1539: Horace Silver - 6 Pieces of Silver (11/10/56)
39,1500 ,1540: Hank Mobley - With Donald Byrd and Lee Morgan (11/25/56)
40,1500 ,1541: Lee Morgan - Lee Morgan Vol. 2 (12/2/56)
41,1500 ,"1542: Sonny Rollins - Sonny Rollins, Vol. 1 (12/16/56)"
42,1500 ,"1543: Kenny Burrell - Kenny Burrell Volume 2 (3/12/56, 5/29/56, 5/30/56)"
43,1500 ,1544: Hank Mobley - Hank Mobley and his All Stars (1/13/57)
44,1500 ,1545: Lou Donaldson - Wailing with Lou (1/27/55)
45,1500 ,"1546: Thad Jones - The Magnificent Thad Jones, Volume 3 (7/14/56, 2/2/57)"
46,1500 ,"1547: Jimmy Smith - A Date with Jimmy Smith Volume One (2/11/57, 2/13/57)"
47,1500 ,1548: Jimmy Smith - A Date with Jimmy Smith Volume Two (2/11/57)
48,1500 ,1549: Cliff Jordan/John Gilmore - Blowing in from Chicago (3/3/57)
49,1500 ,"1550: Hank Mobley - With Farmer, Silver, Watkins, Blakey (3/8/57)"
50,1500 ,"1551: Jimmy Smith - At the Organ, Volume 1 (2/12/57)"
51,1500 ,"1552: Jimmy Smith - At the Organ, Volume 2 (2/12/57, 2/13/57)"
52,1500 ,1553: UNUSED
53,1500 ,"1554: Art Blakey - Orgy in Rhythm, Volume 1 (3/7/57)"
54,1500 ,"1555: Art Blakey - Orgy in Rhythm, Volume 2 (3/7/57)"
55,1500 ,"1556: Jimmy Smith - The Sounds of Jimmy Smith (2/11/57, 2/12/57, 2/13/57)"
56,1500 ,1557: Lee Morgan - Lee Morgan Vol. 3 (3/24/57)
57,1500 ,"1558: Sonny Rollins - Sonny Rollins, Vol. 2 (4/14/57)"
58,1500 ,1559: Johnny Griffin - A Blowin' Session (4/6/57)
59,1500 ,1560: Hank Mobley - Hank (4/21/57)
60,1500 ,1561: Sabu Martinez - Palo Congo (4/27/57)
61,1500 ,1562: Horace Silver - The Stylings of Silver (5/8/57)
62,1500 ,1563: Jimmy Smith - Plays Pretty Just for You (5/8/57)
63,1500 ,1564: Paul Chambers - Paul Chambers Quintet (5/19/57)
64,1500 ,1565: Clifford Jordan - Cliff Jordan (6/2/57)
65,1500 ,1566: Lou Donaldson - Swing and Soul (6/9/57)
66,1500 ,1567: Curtis Fuller - The Opener (6/16/57)
67,1500 ,1568: Hank Mobley - Hank Mobley (6/23/57)
68,1500 ,1569: Paul Chambers - Bass on Top (7/14/57)
69,1500 ,"1570: Sonny Clark - Dial ""S"" for Sonny (7/21/57)"
70,1500 ,1571: Bud Powell - Bud! The Amazing Bud Powell (Vol. 3) (8/3/57)
71,1500 ,1572: Curtis Fuller - Bone & Bari (8/4/57)
72,1500 ,1573: John Jenkins - John Jenkins with Kenny Burrell (8/11/57)
73,1500 ,1574: Hank Mobley - Peckin' Time (2/9/58)
74,1500 ,1575: Lee Morgan - City Lights (8/25/57)
75,1500 ,1576: Sonny Clark - Sonny's Crib (9/1/57)
76,1500 ,1577: John Coltrane - Blue Train (9/15/57)
77,1500 ,1578: Lee Morgan - The Cooker (9/29/57)
78,1500 ,1579: Sonny Clark - Sonny Clark Trio (9/13/57)
79,1500 ,1580: Johnny Griffin - The Congregation (10/23/57)
80,1500 ,1581: Sonny Rollins - A Night at the Village Vanguard (11/3/57)
